area_name,origin_station,time_threshold_min,station_id,station_name,line_name,travel_time_min,lon,lat,x,y
pangyo_1st_technovalley,판교역,60,373,의정부,서울1호선,50.283333,127.04596598630332,37.73839851106466,204051.60539155218,570964.798168356
pangyo_1st_technovalley,판교역,60,95,용산,경의중앙선,50.3,126.96473169613763,37.52957755442685,196882.615041267,547787.4413144169
pangyo_1st_technovalley,판교역,60,847,신도림,GTX_B,50.316667,126.89075607065696,37.50898772434404,190341.21344585097,545507.2517884633
pangyo_1st_technovalley,판교역,60,105,상봉,경의중앙선,50.316667,127.0851919476268,37.59671178171472,207523.41004769315,555241.3780824224
pangyo_1st_technovalley,판교역,60,529,대야미,서울4호선,50.333333,126.91673328321284,37.32787112862472,192620.23487843474,525403.5806323958
pangyo_1st_technovalley,판교역,60,204,관악산,신림선,50.55,126.94549473876646,37.46897179908992,195178.3542794916,541061.7996292631
pangyo_1st_technovalley,판교역,60,591,충정로,서울5호선,50.6,126.96314124767297,37.56057815467224,196743.3832391913,551228.1864879876
pangyo_1st_technovalley,판교역,60,67,영등포,신안산선,50.633333,126.90686843646188,37.51647139157099,191766.60846469164,546336.3120332981
pangyo_1st_technovalley,판교역,60,709,태릉입구,서울7호선,50.75,127.07534622117456,37.61854871377953,206651.97619341323,557664.2961217316
pangyo_1st_technovalley,판교역,60,225,월계,동북선,50.866667,127.06101934969882,37.63148268624763,205386.1882059428,559098.9113090044
pangyo_1st_technovalley,판교역,60,428,홍대입구,서울2호선,50.883333,126.92388306336495,37.55690592242897,193274.43670642193,550822.6968081521
pangyo_1st_technovalley,판교역,60,581,오목교,서울5호선,50.883333,126.8753826483211,37.52451070152889,188984.25597197973,547231.7960217261
pangyo_1st_technovalley,판교역,60,183,성신여대입구,우이신설경전철,50.916667,127.01653848733218,37.59243308481831,201460.6184990833,554763.2067535262
pangyo_1st_technovalley,판교역,60,560,미아,서울4호선,50.916667,127.02618198046385,37.62636094653018,202311.2463016442,558529.023330408
pangyo_1st_technovalley,판교역,60,566,불암산,서울4호선,50.916667,127.07904357419956,37.670202707945386,206973.5681815771,563397.6302837662
pangyo_1st_technovalley,판교역,60,642,공덕,서울6호선,51.266667,126.95187542572616,37.543538926785246,195747.03506940117,549337.4861937859
pangyo_1st_technovalley,판교역,60,853,평내호평,GTX_B,51.316667,127.24426421988208,37.65365436871494,221554.85200565445,561586.0572078625
pangyo_1st_technovalley,판교역,60,127,회기,경춘선,51.316667,127.05815553967152,37.58973887680055,205136.26917201988,554465.64144383
pangyo_1st_technovalley,판교역,60,417,석수,서울1호선,51.333333,126.90230098498375,37.43525797638321,191353.4667614351,537323.1187184341
pangyo_1st_technovalley,판교역,60,25,고색,수인선,51.333333,126.98080027365933,37.24990339178687,198296.60951776628,516747.4033741097
pangyo_1st_technovalley,판교역,60,557,성신여대입구,서울4호선,51.433333,127.0169787253582,37.59292658855122,201499.48880422692,554817.9870704516
pangyo_1st_technovalley,판교역,60,834,킨텍스,GTX_A,51.466667,126.75093530717344,37.66914728008777,178026.1015511783,563306.7349090653
pangyo_1st_technovalley,판교역,60,470,신도림,서울2호선,51.466667,126.89135209736028,37.508482578746765,190393.8463465349,545451.1260539704
pangyo_1st_technovalley,판교역,60,175,김량장,용인경전철,51.566667,127.19868094829054,37.23730208644377,217629.82257235606,515367.2064797018
pangyo_1st_technovalley,판교역,60,680,가산디지털단지,서울7호선,51.583333,126.88248763702192,37.48040253605493,189606.20012081412,542335.5483848044
pangyo_1st_technovalley,판교역,60,426,이대,서울2호선,51.766667,126.94590072885497,37.55674894220572,195219.87040160835,550803.926333533
pangyo_1st_technovalley,판교역,60,750,등촌,서울9호선,51.833333,126.86550156090728,37.55075581457467,188114.96770408048,550145.8870591328
pangyo_1st_technovalley,판교역,60,150,광운대,경춘선,51.866667,127.06203350607043,37.62379325369998,205476.2721049305,558245.524045104
pangyo_1st_technovalley,판교역,60,488,불광,서울3호선,51.866667,126.93035703948472,37.60997490765768,193850.83292965064,556712.3072669903
pangyo_1st_technovalley,판교역,60,370,도봉산,서울1호선,51.916667,127.04604803410368,37.68955803241259,204061.50245053112,565543.944232135
pangyo_1st_technovalley,판교역,60,609,길동,서울5호선,52.066667,127.14004175872208,37.53789287459892,212376.99754545532,548718.9708636135
pangyo_1st_technovalley,판교역,60,710,공릉,서울7호선,52.25,127.07301575099794,37.625608525398,206445.6199568214,558447.6975004721
pangyo_1st_technovalley,판교역,60,489,녹번,서울3호선,52.266667,126.93586815232014,37.60076080621573,194336.74149914982,555689.2963082086
pangyo_1st_technovalley,판교역,60,657,월곡,서울6호선,52.266667,127.04131336263656,37.601619462924056,203648.19608772304,555783.4663720919
pangyo_1st_technovalley,판교역,60,106,망우,경의중앙선,52.316667,127.09232878145164,37.59927646084408,208153.39326223067,555526.6247394461
pangyo_1st_technovalley,판교역,60,741,별내,서울8호선,52.316667,127.12744306462008,37.641980322256536,211247.83990200007,560269.9284111965
pangyo_1st_technovalley,판교역,60,486,구파발,서울3호선,52.366667,126.91881730019298,37.63639757222915,192834.4611972853,559645.7610565944
pangyo_1st_technovalley,판교역,60,629,연신내,서울6호선,52.366667,126.92034672343752,37.61847531082092,192967.76644291863,557656.4631309637
pangyo_1st_technovalley,판교역,60,341,구일,서울1호선,52.466667,126.86981693840856,37.49624291179354,188487.9256222191,544095.0964996777
pangyo_1st_technovalley,판교역,60,660,석계,서울6호선,52.533333,127.06619366992828,37.61503616885079,205844.21376217515,557273.8321511532
pangyo_1st_technovalley,판교역,60,226,하계,동북선,52.566667,127.06793576894307,37.63580026947936,205996.35481253953,559578.537532091
pangyo_1st_technovalley,판교역,60,580,목동,서울5호선,52.716667,126.86443578150646,37.526155260627085,188016.85330820255,547415.6599366192
pangyo_1st_technovalley,판교역,60,374,가능,서울1호선,52.783333,127.04431599515398,37.7483178103927,203905.648045822,572065.6872795753
pangyo_1st_technovalley,판교역,60,528,반월,서울4호선,52.833333,126.90397634687756,37.31252487179428,191487.88192585195,523701.46901256294
pangyo_1st_technovalley,판교역,60,66,도림사거리,신안산선,52.883333,126.90047411183204,37.50798259646756,191200.3149295505,545394.7422817503
pangyo_1st_technovalley,판교역,60,229,상계,동북선,52.916667,127.07269989902214,37.65973476689687,206414.80226558988,562235.3388260463
pangyo_1st_technovalley,판교역,60,871,마곡나루,서울9호선급행,52.966667,126.82733494276692,37.566874886870906,184745.63653277396,551940.4248648953
pangyo_1st_technovalley,판교역,60,184,정릉,우이신설경전철,53.016667,127.01354292180284,37.60258107059848,201195.89871810458,555889.477912012
pangyo_1st_technovalley,판교역,60,641,대흥,서울6호선,53.1,126.94246069813816,37.54764706476496,194915.29615843904,549793.9073452932
pangyo_1st_technovalley,판교역,60,176,운동장_송담대,용인경전철,53.133333,127.20904623986836,37.23790104663041,218549.43417990423,515435.6607655098
pangyo_1st_technovalley,판교역,60,224,우이천,동북선,53.25,127.05032431192842,37.62463275991327,204442.54305570666,558338.0815928236
pangyo_1st_technovalley,판교역,60,427,신촌,서울2호선,53.266667,126.93680339463694,37.555191688674775,194415.92746059314,550631.5912426414
pangyo_1st_technovalley,판교역,60,372,회룡,서울1호선,53.283333,127.04726842140686,37.72379105526611,204167.22518368074,569343.5533113817
pangyo_1st_technovalley,판교역,60,94,효창공원앞,경의중앙선,53.3,126.96281899756076,37.53860464456577,196713.94664607794,548789.4022655397
pangyo_1st_technovalley,판교역,60,906,여의도,신안산선급행,53.383333,126.92400189877466,37.5219823061449,193281.8041570703,546946.5927895732
pangyo_1st_technovalley,판교역,60,559,미아사거리,서울4호선,53.416667,127.03014528792202,37.61330680765331,202661.57743866465,557080.2585988895
pangyo_1st_technovalley,판교역,60,469,도림천,서울2호선,53.466667,126.88264545062373,37.51448745287615,189624.87517000263,546118.5153278125
pangyo_1st_technovalley,판교역,60,748,가양,서울9호선,53.716667,126.854303019782,37.56148680626476,187127.247675835,551338.3750689263
pangyo_1st_technovalley,판교역,60,320,공덕,공항철도,53.733333,126.95205478825476,37.54255858636423,195762.83058727946,549228.6722126721
pangyo_1st_technovalley,판교역,60,610,굽은다리,서울5호선,53.733333,127.14284079165738,37.54543249803229,212623.10714413074,549556.1500052796
pangyo_1st_technovalley,판교역,60,713,노원,서울7호선,53.75,127.0605472338607,37.65455907475965,205342.86143518775,561660.1268687719
pangyo_1st_technovalley,판교역,60,749,증미,서울9호선,53.8,126.86067178777202,37.558090125876944,187689.3883232586,550960.5302407996
pangyo_1st_technovalley,판교역,60,24,오목천,수인선,53.916667,126.96353008424018,37.2431000443475,196764.11569603116,515992.8029593004
pangyo_1st_technovalley,판교역,60,558,길음,서울4호선,53.933333,127.02515133072453,37.603424972807424,202220.9464853044,555983.3529643206
